case_id,author_id_customer,customer_message,created_at_customer,tweet_id_support,support_message,created_at_support
271,115770,"@AmazonHelp 電話で対応してもらいましたが改良されませんでした。
保証期間も過ぎてるので買い直しになるんでしょうね。",Wed Nov 22 09:30:36 +0000 2017,273,@115770 カスタマーサービスにてお問い合わせ済みとのことで、お手数をおかけいたしました。リプライいただきありがとうございました。ET,Wed Nov 22 09:40:27 +0000 2017
274,115770,@AmazonHelp こちらこそありがとうございました。,Wed Nov 22 09:44:04 +0000 2017,275,@115770 恐れ入ります。至らない点も多々あるかとは存じますが、今後ともどうぞよろしくお願いします。ET,Wed Nov 22 10:06:26 +0000 2017
272,115770,amazonのfireTVstickが見れない😢,Wed Nov 22 09:14:39 +0000 2017,269,@115770 こんにちは、アマゾン公式です。Fire TV Stickが見れないというのは、どのような状況でしょうか。一般的なトラブルシューティングを記載したヘルプがございますので、ご参照ください。https://t.co/2pbG55qJ7h ET,Wed Nov 22 09:23:01 +0000 2017
325,115792,amazonプライムビデオ、再生エラーが多いです,Wed Nov 22 08:55:35 +0000 2017,324,@115792 ご不便をおかけしております。アプリをご利用でしょうか。強制停止&gt;端末の再起動にて改善する場合がございますので、お試しください。改善しない場合は、状況を確認しご案内させていただきますのでこちらからカスタマーサービスまでご連絡ください。https://t.co/NtNAX2Qh2u ET,Wed Nov 22 09:06:00 +0000 2017
616,115820,"@AmazonHelp 3 different people have given 3 different answers and I still don't have my order. Says delivered Saturday, was not, I was home all day",Tue Oct 31 23:22:08 +0000 2017,618,@115820 We'd like to take a further look into this with you! Please reach us by phone or chat here: https://t.co/hApLpMlfHN ^AG,Tue Oct 31 23:28:00 +0000 2017
617,115820,Way to drop the ball on customer service @115821 so pissed right now!,Tue Oct 31 22:16:32 +0000 2017,615,"@115820 I'm sorry we've let you down! Without providing any personal information, will you describe the issue? We'd love to help. ^TN",Tue Oct 31 22:29:00 +0000 2017
621,115822,@115823 I want my amazon payments account CLOSED.  dm me please.,Tue Oct 31 22:19:34 +0000 2017,620,"@115822 I am unable to affect your account via Twitter. For real time support, phone or chat use this link: https://t.co/hApLpMlfHN ^CH",Tue Oct 31 22:28:34 +0000 2017
623,115824,"@AmazonHelp Okay, danke für die Info",Tue Oct 31 22:32:07 +0000 2017,625,@115824 Wir haben zu danken. Schönen Abend noch. ^JS,Tue Oct 31 22:34:32 +0000 2017
624,115824,"@115825 also, beim Addams Family-Film in Prime sind Bild und Ton nicht wirklich synchron. Wie kommt's?",Tue Oct 31 22:12:37 +0000 2017,622,"@115824 Hi, wir erhalten die Filme/Serien so vom jeweiligen Studio. Gebe ich aber direkt als Feedback dorthin weiter. Gruß ^JS",Tue Oct 31 22:28:00 +0000 2017
627,115827,@AmazonHelp @115826 Yeah this is crazy we’re less than a week away and still no Shipping Information on something that we Pre-ordered back in August,Wed Nov 01 12:50:18 +0000 2017,629,@115827 Thanks for your patience. ^KM,Wed Nov 01 12:53:34 +0000 2017
628,115826,@115828 How about you guys figure out my Xbox One X project Scorpio edition first. No expected delivery or shipping date and it’s only a week away,Tue Oct 31 21:57:24 +0000 2017,626,@115826 I'm sorry for the wait. You'll receive an email as soon as we have an estimated delivery date. ^FJ,Tue Oct 31 22:28:00 +0000 2017
632,115829,"@115830 my package was ‘accidentally’ opened.. 4 items missing worth £97.
You need better delivery drivers!! https://t.co/f6SaVBSMqM",Tue Oct 31 21:34:58 +0000 2017,631,@115829 I'm sorry your order arrived in this condition! Please reach out to us for available options: https://t.co/JzP7hlA23B ^DG,Tue Oct 31 22:27:00 +0000 2017
634,115831,@115821 @AmazonHelp why is my order at my local courier for the last 6 days and still hasn’t been delivered to me?? Over 1 week late 😡,Tue Oct 31 21:39:58 +0000 2017,633,@115831 I'm sorry for the wait. Please reach out to us so we can take a closer look at this delivery: https://t.co/JzP7hlA23B ^SH,Tue Oct 31 22:26:37 +0000 2017
636,115832,"Thanks for the style advice, @115833 look ...I think? #Halloween2017 #flamingo https://t.co/XvI54La043",Tue Oct 31 22:05:36 +0000 2017,635,@115832 Alexa says both styles are working for you! My vote goes to the Flamingo look! ^SE,Tue Oct 31 22:26:07 +0000 2017
638,115834,@AmazonHelp Hi ready for some help,Tue Oct 31 22:19:56 +0000 2017,637,@115834 Were you able to reach us at the link DW provided? ^TR,Tue Oct 31 22:26:07 +0000 2017
640,115834,@AmazonHelp Is the Echo Show no longer supported?,Tue Oct 31 01:03:01 +0000 2017,639,"@115834 The Echo Show is supported, please reach us for some live troubleshooting at your convenience: https://t.co/hApLpMlfHN ^DW",Tue Oct 31 01:09:35 +0000 2017
643,115834,"Bought an @115821 Echo Show and it won’t recognize a single @AmazonHelp account in our household. WTF, guys?",Mon Oct 30 23:44:45 +0000 2017,642,"@115834 Oh no, I'm sorry for the issues! For troubleshooting, please check out our Echo Help pages here: https://t.co/a31c4ynHES ^SG",Tue Oct 31 00:52:39 +0000 2017
645,115835,@AmazonHelp That page is useless - doesn’t allow me to state it hasn’t been delivered; only tells me it has! How can you sort this out?,Wed Nov 01 08:04:52 +0000 2017,647,@115835 You can also request a call back here Martin https://t.co/zH8UlhTGcc ^KM,Wed Nov 01 08:11:34 +0000 2017
646,115835,.@AmazonHelp Item has not been delivered but tracking says it was handed to me over an hour ago... 2nd time this has happened. Sort it out https://t.co/42W82GcARk,Tue Oct 31 21:40:30 +0000 2017,644,@115835 I'm so sorry you didn't receive your parcel! We'd like a chance to look into this with you here: https://t.co/JzP7hlA23B ^SY,Tue Oct 31 22:25:27 +0000 2017
649,115836,"In response to your @115830 packing video, this packaging was for a 2ft washing line pole @115837 https://t.co/X21SQHgC0K",Tue Oct 31 22:17:47 +0000 2017,648,@115836 Thanks for bringing this to our attention! Please also leave packing feedback here: https://t.co/PMiShxgPvp so we may improve.^KL,Tue Oct 31 22:24:47 +0000 2017
651,115838,"@AmazonHelp I don't want a form to fill out that logs a response no one reads. I want to prevent AMZL from touching my stuff. Possible, or no?",Tue Oct 31 22:25:58 +0000 2017,653,"@115838 Is there a current order you're having difficulties with? Please let us know, we'd like to help! ^KL",Tue Oct 31 22:52:02 +0000 2017
654,115838,@AmazonHelp Already started the return. UPS gets it from my doorstep tomorrow. Order 111-5014070-4118645,Tue Oct 31 22:53:50 +0000 2017,655,@115838 Provide your details here: https://t.co/6f6cWZv7vm and my team will escalate the order to Amazon Logistics for feedback. ^EZ,Tue Oct 31 23:07:33 +0000 2017
652,115838,@AmazonHelp Is it possible to prevent AMZL from delivering my packages moving forward? Stuff is either lost/stolen/broken EVERY time.,Tue Oct 31 22:11:15 +0000 2017,650,@115838 Oh no! We want to hear more about your experience with AMZL. Please provide your feedback here: https://t.co/hApLpMlfHN ^SH,Tue Oct 31 22:24:47 +0000 2017
657,115839,"@AmazonHelp Already handled, just venting. It was a pretty big bummer.",Tue Oct 31 22:18:42 +0000 2017,656,@115839 Let us know if there’s anything else we can do for you! We're happy to help out any way we can! ^FR,Tue Oct 31 22:21:10 +0000 2017
659,115839,"@115821, it’d be nice if the book I waited 4 months for wasn’t damaged inside of an undented box. #twinpeaks #twin… https://t.co/Lac4K7iQzJ https://t.co/JroqJKrH9Q",Tue Oct 31 22:02:14 +0000 2017,658,@115839 I'm sorry your book arrived this way! You can find replacement/refund options here: https://t.co/zRrkpVcaDF ^VS,Tue Oct 31 22:11:00 +0000 2017
661,115840,@115841 @115821 Feliz #Halloween2017 https://t.co/edHbRDnM8x,Tue Oct 31 22:13:37 +0000 2017,660,@115840 ¡Que lindoooooooooo! 😍🐶🎃 ^JJ https://t.co/YSOVnjaPrO,Tue Oct 31 22:21:01 +0000 2017
664,115842,"@AmazonHelp delivery I paid for today,didn’t arrive.why not?i paid enough for it.where is it??I’m unhappy.refund the delivery charge",Tue Oct 31 21:50:49 +0000 2017,663,"@115842 Oh no! Please contact us via phone/chat here: https://t.co/JzP7hlA23B
We're unable to view order details via Twitter. ^KL",Tue Oct 31 22:20:34 +0000 2017
667,115843,"Anna Inspired in idea lab at school to be @115821 package being shipped to Narnia! ""Amazon can go anywhere"" according to Anna. https://t.co/TyvKhuu7su",Tue Oct 31 22:11:10 +0000 2017,665,@115843 You're not lion! She even shows witch way is up! That's quite the wardrobe! ^AC,Tue Oct 31 22:19:29 +0000 2017
670,115844,@115845 They sent the feckin' order to Germany! Some dozy driver is looking for an address in the wrong country! I'm so done with Amazon!,Tue Oct 31 22:15:42 +0000 2017,668,@115844 Oh my! I'm sorry for the troubles! Contact us by Phone or Chat: https://t.co/JzP7hlA23B &amp; we'll be glad to help! ^FR,Tue Oct 31 22:18:00 +0000 2017
676,115846,@115847 @115821 Yeah idk the shipping company and it says “mike Ziemer” signed for it in the mail room at our building lol,Tue Oct 31 21:39:25 +0000 2017,675,@115846 That's okay! Thanks for checking! Please contact us by phone or chat and we can look into this: https://t.co/hApLpMlfHN ^BN,Tue Oct 31 22:17:27 +0000 2017
681,115848,@115821  https://t.co/Gb0beuA3IN,Tue Oct 31 22:11:34 +0000 2017,680,@115848 I'm sorry for the trouble this has caused you; please contact us so we may lend you a hand: https://t.co/hApLpMlfHN ^WM,Tue Oct 31 22:17:00 +0000 2017
685,115849,@AmazonHelp Details sent. Please check.,Wed Nov 01 05:26:45 +0000 2017,687,@115849 Thanks for confirming that the details have been shared. Our team will give it a look and reach out shortly. ^AB,Wed Nov 01 05:32:57 +0000 2017
686,115849,@AmazonHelp Already contacted 3-4 times in the last month. But all I got was assurance that matter is escalated &amp; new status will be provided in 1 day!,Tue Oct 31 22:06:53 +0000 2017,684,@115849 Please share your details here:https://t.co/GIJyeYqKE0 and I'll get back to you. 2/2 ^HD,Tue Oct 31 22:17:00 +0000 2017
690,115849,@115850 @115821 @AmazonHelp @115851 Order# 3632693-6196346. You couldn't deliver EVEN AFTER A MONTH. You should be ashamed of yourself.,Tue Oct 31 21:45:15 +0000 2017,689,@115849 Please report this to our support team here: https://t.co/TdDksLo6Mf and we'll look into this. 2/2 ^HD,Tue Oct 31 21:54:32 +0000 2017
693,115852,@AmazonHelp since when you stop giving 20% off videogame pre-orders (amazon prime members) im confused? why?,Tue Oct 31 22:10:21 +0000 2017,692,@115852 We still offer discounts on eligible physical game pre-orders. For further details on Prime benefits: https://t.co/80y2YnlQGJ ^MB,Tue Oct 31 22:16:00 +0000 2017
695,115853,Just pulled another #Amazon delivery out of the bushes since the #amzl people can’t walk the extra 2 ft to my door. So tired of this.,Tue Oct 31 21:17:03 +0000 2017,694,@115853 I'm sorry we let you down! We'd like to make sure this is addressed. Please provide some details here: https://t.co/z6evtFsZI5 ^BN,Tue Oct 31 22:15:28 +0000 2017
1693,116081,@AmazonHelp but I can’t find the options to cancel or re-order?,Tue Oct 31 22:54:54 +0000 2017,1696,@116081 I'm sorry for the delay! We'd like to take a further look into this with you! Please reach us here: https://t.co/hApLpMlfHN ^AG,Tue Oct 31 22:58:00 +0000 2017
1695,116081,@115821 my order hasn’t arrived (it was due 14th October). Can you help?,Tue Oct 31 22:40:01 +0000 2017,1692,@116081 Hey Georgia! Sorry you haven't received your package. We'd love to help! What does the current tracking say on your order? ^AJ,Tue Oct 31 22:43:00 +0000 2017
1698,116082,@AmazonHelp Thats the thing I told customer service. I created a new email address for the Prime trial and forgot it. What can I do so I'm not charged?,Tue Oct 31 22:47:50 +0000 2017,1700,@116082 Hey Corey! Even on the new account you made you can turn of the auto renew through the same link ^SK posted for you. ^AJ,Tue Oct 31 22:52:33 +0000 2017
