case_id,customer_message,support_message,human_intent,human_auto_handle,human_escalation_reason,ambiguity_flag,optional_notes
case_206,@AmazonHelp password reset,@Customer206 Please DM us your email.,,,,,
case_48,@AmazonHelp refund please,@Customer48 Try restarting your device.,,,,,
case_20,@AmazonHelp delayed shipping,@Customer20 Try restarting your device.,,,,,
case_84,@AmazonHelp screen cracked,@Customer84 Check our FAQ here.,,,,,
case_78,@AmazonHelp refund please,@Customer78 Check our FAQ here.,,,,,
case_74,@AmazonHelp refund please,@Customer74 We have issued a refund.,,,,,
case_50,@AmazonHelp screen cracked,@Customer50 Try restarting your device.,,,,,
case_46,@AmazonHelp password reset,@Customer46 Let's look into this.,,,,,
case_40,@AmazonHelp password reset,@Customer40 Let's look into this.,,,,,
case_140,@AmazonHelp refund please,@Customer140 Let's look into this.,,,,,
case_198,@AmazonHelp password reset,@Customer198 We have issued a refund.,,,,,
case_18,@AmazonHelp screen cracked,@Customer18 Try restarting your device.,,,,,
case_22,@AmazonHelp refund please,@Customer22 We have issued a refund.,,,,,
case_172,@AmazonHelp delayed shipping,@Customer172 Please DM us your email.,,,,,
case_202,@AmazonHelp delayed shipping,@Customer202 Try restarting your device.,,,,,
case_82,@AmazonHelp password reset,@Customer82 Please DM us your email.,,,,,
case_98,@AmazonHelp password reset,@Customer98 Please DM us your email.,,,,,
case_148,@AmazonHelp app crashed,@Customer148 Check our FAQ here.,,,,,
case_188,@AmazonHelp password reset,@Customer188 Please DM us your email.,,,,,
case_158,@AmazonHelp billing issue,@Customer158 Let's look into this.,,,,,
case_100,@AmazonHelp screen cracked,@Customer100 Let's look into this.,,,,,
case_110,@AmazonHelp billing issue,@Customer110 Please DM us your email.,,,,,
case_70,@AmazonHelp billing issue,@Customer70 Try restarting your device.,,,,,
case_134,@AmazonHelp screen cracked,@Customer134 Check our FAQ here.,,,,,
case_180,@AmazonHelp screen cracked,@Customer180 Please DM us your email.,,,,,
case_176,@AmazonHelp app crashed,@Customer176 Check our FAQ here.,,,,,
case_66,@AmazonHelp screen cracked,@Customer66 Please DM us your email.,,,,,
case_90,@AmazonHelp delayed shipping,@Customer90 Try restarting your device.,,,,,
case_124,@AmazonHelp password reset,@Customer124 Please DM us your email.,,,,,
case_146,@AmazonHelp delayed shipping,@Customer146 We have issued a refund.,,,,,
case_104,@AmazonHelp billing issue,@Customer104 Please DM us your email.,,,,,
case_162,@AmazonHelp app crashed,@Customer162 Let's look into this.,,,,,
case_30,@AmazonHelp password reset,@Customer30 Check our FAQ here.,,,,,
case_62,@AmazonHelp billing issue,@Customer62 Please DM us your email.,,,,,
case_152,@AmazonHelp app crashed,@Customer152 We have issued a refund.,,,,,
case_126,@AmazonHelp refund please,@Customer126 Check our FAQ here.,,,,,
case_132,@AmazonHelp app crashed,@Customer132 Check our FAQ here.,,,,,
case_182,@AmazonHelp app crashed,@Customer182 Please DM us your email.,,,,,
case_58,@AmazonHelp billing issue,@Customer58 Let's look into this.,,,,,
case_24,@AmazonHelp billing issue,@Customer24 Please DM us your email.,,,,,
case_52,@AmazonHelp delayed shipping,@Customer52 Check our FAQ here.,,,,,
