case_id,author_id_customer,customer_message,created_at_customer,tweet_id_support,support_message,created_at_support,true_intent,human_escalate
28397,122219,@AmazonHelp I have never been provided with info of any kind. Every three days I proactively ask and someone tells me to keep waiting with no details.,Wed Nov 01 10:50:23 +0000 2017,28394,@122219 We are still working on this! Please be sure to watch your e-mail for further updates on this issue. ^MW,Wed Nov 01 10:58:29 +0000 2017,General Inquiry & Feedback,False
316485,191572,"@115850 baar bar jhuth 48 hours me problem solve ho jayegi.. or fir dobara 48 ghante , customer velle hai kya
?",Sat Oct 07 07:44:15 +0000 2017,316484,@191572 your order/account details as we consider them to be personal information. Our Twitter page is visible to the public. [2/2] ^NS,Sat Oct 07 08:24:30 +0000 2017,General Inquiry & Feedback,False
226149,169993,@169994 will you come back to NYC :(?,Thu Oct 05 06:36:17 +0000 2017,226148,"@169993 Hi, we don't have that info but you can sign up for texts about the Treasure Truck here: https://t.co/zytobl0pzZ. ^JJ",Thu Oct 05 06:45:31 +0000 2017,General Inquiry & Feedback,False
427813,216734,@AmazonHelp Yes,Tue Oct 10 13:54:02 +0000 2017,427815,@216734 Thanks for reporting. We'll check and revert at the earliest. ^HK,Tue Oct 10 14:30:00 +0000 2017,General Inquiry & Feedback,False
427764,216723,"@115850  item ordered on 16th July 2017, not delivered yet..wow... https://t.co/XLz0NCdYw8",Tue Oct 10 13:11:02 +0000 2017,427765,"@216723 we'll get back to you soon. Please don't provide your order details, as we consider it to be personal information. 2/3^AP",Tue Oct 10 13:24:39 +0000 2017,Order Status & Logistics,False
331620,194968,.@AmazonHelp Every one of our Fire Sticks has gone haywire at same time. Can't connect to network; network is 100% online. [1/],Sat Oct 07 18:25:35 +0000 2017,331618,@194968 I'm sorry for the trouble you're experiencing. Please try these troubleshooting steps: https://t.co/ctjQKAwOIP ^AC,Sat Oct 07 18:38:58 +0000 2017,General Inquiry & Feedback,False
314724,191148,"@AmazonHelp Only if you don't actually charge me. 😂😜🤗

❤️ you guys!!",Sat Oct 07 07:05:31 +0000 2017,314726,@191148 Cheeky hahahha 😂😜🤗 I love it!^CD,Sat Oct 07 07:17:28 +0000 2017,General Inquiry & Feedback,False
546513,247080,"@AmazonHelp Registered a complaint in customer care of Amazon as well as SBI. Hope its resolved at the earliest.
Thank you for the response",Sat Nov 25 09:02:10 +0000 2017,546512,@247080 Our team will surely look into this and get this issue resolved at the earliest. Please feel free to get back to us for further concerns. ^BV,Sat Nov 25 09:46:31 +0000 2017,General Inquiry & Feedback,False
448622,164340,"Told an @AmazonHelp agent in chat that I was going to give them a bad survey response for lying to me (about something that is documented clearly on the amazon website), and they found a way around it. They forced a ""lost connection"" to the chat and I ended up with someone else.",Thu Nov 30 20:49:27 +0000 2017,448620,"@164340 Terribly sorry for your previous experience with us, Tim! Were you able to get everything situated with the next agent? ^JZ",Thu Nov 30 20:57:02 +0000 2017,General Inquiry & Feedback,False
311912,190498,"Amazonミニスーファミ返送について

問い合わせたら、トラブルで返送しますというメールが届いた場合、ステータスが輸送中でも確実に返送されているということ。返送完了したら返金手続きにうつる。

つまり、待つだけ無駄。

#ミニスーファミ",Sat Oct 07 03:19:30 +0000 2017,311911,@190498 このたびは、ご迷惑をおかけし申し訳ございません。本件についてご注文いただいたお客様に後日https://t.co/st4oU5QbhPよりご連絡を行わせていただきますため、そのご連絡をお待ちいただきますようお願いいたします。TN,Sat Oct 07 03:34:26 +0000 2017,General Inquiry & Feedback,False
529154,242521,@AmazonHelp Ça ne semble pas me proposer un échange... Mais simplement de retourner l'article puis de recommander...,Sat Dec 02 09:20:31 +0000 2017,529157,@242521 Il n'est pas possible d'échanger. Vous pouvez retourner l'article. ^SM,Sat Dec 02 09:36:30 +0000 2017,General Inquiry & Feedback,False
30555,122723,@AmazonHelp if I cancel an order do I get a refund? It hasn't been dispatched yet does that mean you haven't taken any money yet?,Wed Nov 01 11:42:51 +0000 2017,30554,"@122723 Hi, we charge on dispatch. So if you can cancel successfully you won't be charged. ^TS",Wed Nov 01 11:45:01 +0000 2017,"Returns, Refunds & Cancellations",True
317934,191865,"@AmazonHelp 4487486901 is my case # Have someone in Amazon do their job and solve my problem.  I been calling everyday, no solution to my problem.",Sun Oct 08 15:03:49 +0000 2017,317935,"@191865 2/2 When you spoke with us, what insight did we provide? Did we set up a follow up on this matter? ^CO",Sun Oct 08 15:22:00 +0000 2017,General Inquiry & Feedback,False
107257,139821,@AmazonHelp Still nothing posted. What are the odds anyway?,Thu Nov 30 18:26:10 +0000 2017,107255,@139821 All the winners are published on our website and are contacted by our specialist team via email. Please stay tuned. ^MK,Thu Nov 30 18:56:31 +0000 2017,General Inquiry & Feedback,False
133670,146134,@AmazonHelp does @115821 sell @7688 Bern looking for it but can't find it.,Fri Nov 24 08:28:51 +0000 2017,133669,"@146134 Hi Ian, it doesn't look like we stock, however we do have similar products available: https://t.co/NJeO9dxoCk ^PJ",Fri Nov 24 08:38:29 +0000 2017,General Inquiry & Feedback,False
