case_id,customer_id,customer_message,support_message,created_at,brand
case_206,Customer206,@AmazonHelp password reset,@Customer206 Please DM us your email.,2017-11-04 12:00:00,AmazonHelp
case_48,Customer48,@AmazonHelp refund please,@Customer48 Try restarting your device.,2017-11-04 12:00:00,AmazonHelp
case_20,Customer20,@AmazonHelp delayed shipping,@Customer20 Try restarting your device.,2017-11-04 12:00:00,AmazonHelp
case_84,Customer84,@AmazonHelp screen cracked,@Customer84 Check our FAQ here.,2017-11-04 12:00:00,AmazonHelp
case_78,Customer78,@AmazonHelp refund please,@Customer78 Check our FAQ here.,2017-11-04 12:00:00,AmazonHelp
case_74,Customer74,@AmazonHelp refund please,@Customer74 We have issued a refund.,2017-11-04 12:00:00,AmazonHelp
case_50,Customer50,@AmazonHelp screen cracked,@Customer50 Try restarting your device.,2017-11-04 12:00:00,AmazonHelp
case_46,Customer46,@AmazonHelp password reset,@Customer46 Let's look into this.,2017-11-04 12:00:00,AmazonHelp
case_40,Customer40,@AmazonHelp password reset,@Customer40 Let's look into this.,2017-11-04 12:00:00,AmazonHelp
case_140,Customer140,@AmazonHelp refund please,@Customer140 Let's look into this.,2017-11-04 12:00:00,AmazonHelp
case_198,Customer198,@AmazonHelp password reset,@Customer198 We have issued a refund.,2017-11-04 12:00:00,AmazonHelp
case_18,Customer18,@AmazonHelp screen cracked,@Customer18 Try restarting your device.,2017-11-04 12:00:00,AmazonHelp
case_22,Customer22,@AmazonHelp refund please,@Customer22 We have issued a refund.,2017-11-04 12:00:00,AmazonHelp
case_172,Customer172,@AmazonHelp delayed shipping,@Customer172 Please DM us your email.,2017-11-04 12:00:00,AmazonHelp
case_202,Customer202,@AmazonHelp delayed shipping,@Customer202 Try restarting your device.,2017-11-04 12:00:00,AmazonHelp
case_82,Customer82,@AmazonHelp password reset,@Customer82 Please DM us your email.,2017-11-04 12:00:00,AmazonHelp
case_98,Customer98,@AmazonHelp password reset,@Customer98 Please DM us your email.,2017-11-04 12:00:00,AmazonHelp
case_148,Customer148,@AmazonHelp app crashed,@Customer148 Check our FAQ here.,2017-11-04 12:00:00,AmazonHelp
case_188,Customer188,@AmazonHelp password reset,@Customer188 Please DM us your email.,2017-11-04 12:00:00,AmazonHelp
case_158,Customer158,@AmazonHelp billing issue,@Customer158 Let's look into this.,2017-11-04 12:00:00,AmazonHelp
case_100,Customer100,@AmazonHelp screen cracked,@Customer100 Let's look into this.,2017-11-04 12:00:00,AmazonHelp
case_110,Customer110,@AmazonHelp billing issue,@Customer110 Please DM us your email.,2017-11-04 12:00:00,AmazonHelp
case_70,Customer70,@AmazonHelp billing issue,@Customer70 Try restarting your device.,2017-11-04 12:00:00,AmazonHelp
case_134,Customer134,@AmazonHelp screen cracked,@Customer134 Check our FAQ here.,2017-11-04 12:00:00,AmazonHelp
case_180,Customer180,@AmazonHelp screen cracked,@Customer180 Please DM us your email.,2017-11-04 12:00:00,AmazonHelp
case_176,Customer176,@AmazonHelp app crashed,@Customer176 Check our FAQ here.,2017-11-04 12:00:00,AmazonHelp
case_66,Customer66,@AmazonHelp screen cracked,@Customer66 Please DM us your email.,2017-11-04 12:00:00,AmazonHelp
case_90,Customer90,@AmazonHelp delayed shipping,@Customer90 Try restarting your device.,2017-11-04 12:00:00,AmazonHelp
case_124,Customer124,@AmazonHelp password reset,@Customer124 Please DM us your email.,2017-11-04 12:00:00,AmazonHelp
case_146,Customer146,@AmazonHelp delayed shipping,@Customer146 We have issued a refund.,2017-11-04 12:00:00,AmazonHelp
case_104,Customer104,@AmazonHelp billing issue,@Customer104 Please DM us your email.,2017-11-04 12:00:00,AmazonHelp
case_162,Customer162,@AmazonHelp app crashed,@Customer162 Let's look into this.,2017-11-04 12:00:00,AmazonHelp
case_30,Customer30,@AmazonHelp password reset,@Customer30 Check our FAQ here.,2017-11-04 12:00:00,AmazonHelp
case_62,Customer62,@AmazonHelp billing issue,@Customer62 Please DM us your email.,2017-11-04 12:00:00,AmazonHelp
case_152,Customer152,@AmazonHelp app crashed,@Customer152 We have issued a refund.,2017-11-04 12:00:00,AmazonHelp
case_126,Customer126,@AmazonHelp refund please,@Customer126 Check our FAQ here.,2017-11-04 12:00:00,AmazonHelp
case_132,Customer132,@AmazonHelp app crashed,@Customer132 Check our FAQ here.,2017-11-04 12:00:00,AmazonHelp
case_182,Customer182,@AmazonHelp app crashed,@Customer182 Please DM us your email.,2017-11-04 12:00:00,AmazonHelp
case_58,Customer58,@AmazonHelp billing issue,@Customer58 Let's look into this.,2017-11-04 12:00:00,AmazonHelp
case_24,Customer24,@AmazonHelp billing issue,@Customer24 Please DM us your email.,2017-11-04 12:00:00,AmazonHelp
case_52,Customer52,@AmazonHelp delayed shipping,@Customer52 Check our FAQ here.,2017-11-04 12:00:00,AmazonHelp
